time_h,layer,observed_C,fitted_C,residual_C
0,T1,290.00000000,290.00000000,0.00000000
0,T3,290.00000000,290.00000000,0.00000000
0,T5,290.00000000,290.00000000,0.00000000
1,T1,514.49000000,514.22148892,-0.26851108
1,T3,413.65000000,413.86952578,0.21952578
1,T5,331.65000000,331.25069563,-0.39930437
2,T1,538.14000000,538.56280829,0.42280829
2,T3,489.28000000,489.11249743,-0.16750257
2,T5,433.49000000,433.81886552,0.32886552
3,T1,543.95000000,543.76679554,-0.18320446
3,T3,511.22000000,510.94998153,-0.27001847
3,T5,478.92000000,478.85455720,-0.06544280
4,T1,544.99000000,545.10570456,0.11570456
4,T3,516.70000000,517.13288311,0.43288311
4,T5,493.27000000,493.10588736,-0.16411264
5,T1,545.86000000,545.47306518,-0.38693482
5,T3,518.95000000,518.88184952,-0.06815048
5,T5,497.03000000,497.26901662,0.23901662
6,T1,545.36000000,545.57599762,0.21599762
6,T3,519.65000000,519.37656501,-0.27343499
6,T5,498.42000000,498.45801183,0.03801183
