q_kg_s,top_margin_c,diff_margin_c
0.0,-105.27504581707285,50.0
0.5,-107.55773551036026,50.0
1.0,-109.87948798114434,50.0
1.5,-112.23744766230857,50.0
2.0,-114.6286872692778,50.0
2.5,-117.05022147589534,50.0
3.0,-119.49902036097888,50.0
3.5,-121.97202254027707,50.0
4.0,-124.46614790326458,50.0
4.5,-126.97830989004075,50.0
5.0,-129.50542724935997,50.0
5.5,-132.04443523239894,50.0
6.0,-134.59229618215664,50.0
6.5,-137.1460094882209,50.0
7.0,-139.70262088644841,50.0
7.5,-142.25923108434205,50.0
8.0,-144.81300370693918,50.0
8.5,-147.36117255837053,50.0
9.0,-149.9010482008515,50.0
9.5,-152.43002385944357,50.0
10.0,-154.94558066299487,50.0
10.5,-157.4452922357862,50.0
11.0,-159.9268286583868,50.0
11.5,-162.38795981852707,50.0
12.0,-164.82655817445027,50.0
12.5,-167.24060095611986,50.0
13.0,-169.6281718304803,50.0
13.5,-171.9874620580211,50.0
14.0,-174.316771169834,50.0
14.5,-176.6145071927972,50.0
15.0,-178.8791864545331,50.0
15.5,-181.1094329940738,50.0
16.0,-183.30397761116876,50.0
16.5,-185.4616565797877,50.0
17.0,-187.5814100572989,50.0
17.5,-189.6622802147961,50.0
18.0,-191.7034091167144,50.0
18.5,-193.70403637609195,50.0
19.0,-195.6634966106438,50.0
19.5,-197.5812167238352,50.0
20.0,-199.45671303448694,50.0
20.5,-201.28958827688166,50.0
21.0,-203.0795284929601,50.0
21.5,-204.82629983611446,50.0
22.0,-206.5297453051196,50.0
22.5,-208.18978142715054,50.0
23.0,-209.80639490479967,50.0
23.5,-211.37963924296963,50.0
24.0,-212.9096313709153,50.0
24.5,-214.3965482711045,50.0
25.0,-215.84062362777098,50.0
25.5,-217.24214450625186,50.0
26.0,-218.6014480726672,50.0
26.5,-219.91891836391767,50.0
27.0,-221.19498311467635,50.0
27.5,-222.43011065067822,50.0
28.0,-223.6248068525988,50.0
28.5,-224.77961219809157,50.0
29.0,-225.8950988847954,50.0
29.5,-226.97186804105883,50.0
30.0,-228.01054702531252,50.0
30.5,-229.0117868181183,50.0
31.0,-229.97625950967137,50.0
31.5,-230.90465588336986,50.0
32.0,-231.79768309731668,50.0
32.5,-232.6560624644104,50.0
33.0,-233.48052733064276,50.0
33.5,-234.27182105291786,50.0
34.0,-235.03069507456183,50.0
34.5,-235.7579070981276,50.0
35.0,-236.45421935485888,50.0
35.5,-237.1203969686627,50.0
36.0,-237.75720641386,50.0
36.5,-238.3654140641761,50.0
37.0,-238.94578483108148,50.0
37.5,-239.49908088963775,50.0
38.0,-240.02606048944767,50.0
38.5,-240.5274768476782,50.0
39.0,-241.0040771228825,50.0
39.5,-241.45660146559294,50.0
40.0,-241.8857821437365,50.0
40.5,-242.29234274052027,50.0
41.0,-242.67699742138524,50.0
41.5,-243.0404502667239,50.0
42.0,-243.383394669756,50.0
42.5,-243.70651279392513,50.0
43.0,-244.0104750896,50.0
43.5,-244.29593986500862,50.0
44.0,-244.56355291129563,50.0
44.5,-244.81394717638955,50.0
45.0,-245.04774248701523,50.0
45.5,-245.26554531537363,50.0
46.0,-245.46794858802042,50.0
46.5,-245.65553153496268,50.0
47.0,-245.82885957592447,50.0
47.5,-245.98848424178112,50.0
48.0,-246.1349431294305,50.0
48.5,-246.26875988660157,50.0
49.0,-246.39044422604445,50.0
49.5,-246.5004919658639,50.0
50.0,-246.59938509467963,50.0
50.5,-246.68759185955906,50.0
51.0,-246.76556687496918,50.0
51.5,-246.83375125082756,50.0
52.0,-246.89257273839627,50.0
52.5,-246.94244589185104,50.0
53.0,-246.98377224486853,50.0
53.5,-247.0169404998502,50.0
54.0,-247.04232672906045,50.0
54.5,-247.06029458659253,50.0
55.0,-247.0711955288151,50.0
55.5,-247.07536904363428,50.0
56.0,-247.07314288636167,50.0
56.5,-247.06483332184342,50.0
57.0,-247.05074537126615,50.0
57.5,-247.03117306337163,50.0
58.0,-247.00639968910423,50.0
58.5,-246.9766980581574,50.0
59.0,-246.94233075795233,50.0
59.5,-246.90355041326205,50.0
60.0,-246.8605999465242,50.0
60.5,-246.81371283767783,50.0
61.0,-246.763113383786,50.0
61.5,-246.70901695707192,50.0
62.0,-246.6516302613967,50.0
62.5,-246.59115158674842,50.0
63.0,-246.52777106118714,50.0
63.5,-246.46167090005173,50.0
64.0,-246.39302565192384,50.0
64.5,-246.3220024413548,50.0
65.0,-246.24876120768647,50.0
65.5,-246.173454940289,50.0
66.0,-246.0962299093065,50.0
66.5,-246.01722589263824,50.0
67.0,-245.9365763980074,50.0
67.5,-245.8544088807455,50.0
68.0,-245.7708449569754,50.0
68.5,-245.6860006117791,50.0
69.0,-245.59998640282976,50.0
69.5,-245.51290765892742,50.0
70.0,-245.42486467377398,50.0
70.5,-245.33595289475403,50.0
71.0,-245.2462631066192,50.0
71.5,-245.15588161045724,50.0
72.0,-245.06489039759418,50.0
72.5,-244.97336731859428,50.0
73.0,-244.88138624724314,50.0
73.5,-244.7890172398179,50.0
74.0,-244.6963266896846,50.0
74.5,-244.60337747672673,50.0
75.0,-244.51022911257633,50.0
75.5,-244.41693788073673,50.0
76.0,-244.32355697250347,50.0
76.5,-244.2301366183608,50.0
77.0,-244.13672421482215,50.0
77.5,-244.0433644470806,50.0
78.0,-243.95009940733644,50.0
78.5,-243.8569687091196,50.0
79.0,-243.76400959744376,50.0
79.5,-243.67125705511256,50.0
80.0,-243.57874390501462,50.0
80.5,-243.48650090880017,50.0
81.0,-243.39455686170822,50.0
81.5,-243.30293868411508,50.0
82.0,-243.21167150933786,50.0
82.5,-243.1207787680346,50.0
83.0,-243.03028226950374,50.0
83.5,-242.9402022798148,50.0
84.0,-242.85055759657138,50.0
84.5,-242.76136562079427,50.0
85.0,-242.67264242615443,50.0
85.5,-242.58440282493717,50.0
86.0,-242.4966604315635,50.0
86.5,-242.4094277235282,50.0
87.0,-242.32271609950527,50.0
87.5,-242.23653593516735,50.0
88.0,-242.15089663670278,50.0
88.5,-242.06580669176515,50.0
89.0,-241.98127371857544,50.0
89.5,-241.8973045124065,50.0
90.0,-241.81390509051516,50.0
90.5,-241.73108073466528,50.0
91.0,-241.64883603201793,50.0
91.5,-241.56717491397245,50.0
92.0,-241.4861006934205,50.0
92.5,-241.40561610014885,50.0
93.0,-241.32572331468697,50.0
93.5,-241.2464240004698,50.0
94.0,-241.167719334634,50.0
94.5,-241.08961003731952,50.0
95.0,-241.01209639945114,50.0
95.5,-240.93517830927254,50.0
96.0,-240.85885527772444,50.0
96.5,-240.78312646231853,50.0
97.0,-240.70799069006955,50.0
97.5,-240.6334464791829,50.0
98.0,-240.55949205957086,50.0
98.5,-240.48612539264485,50.0
99.0,-240.41334418980637,50.0
99.5,-240.34114593000157,50.0
100.0,-240.26952787660787,50.0
