time_s,T1_C,T2_C,T3_C,T4_C,T5_C,delta_T12_C,delta_T23_C,delta_T34_C,delta_T45_C,power_MW,cumulative_heat_GJ
0.00000000,565.00000000,555.00000000,520.00000000,430.00000000,330.00000000,10.00000000,35.00000000,90.00000000,100.00000000,0.00000000,0.00000000
0.50000000,564.99262507,554.99025773,519.98568333,429.99405761,330.01325362,10.00236734,35.00457440,89.99162572,99.98080399,0.00000000,0.00000000
1.00000000,564.98524982,554.98051520,519.97136894,429.98811706,330.02650393,10.00473462,35.00914625,89.98325188,99.96161313,0.00000000,0.00000000
1.50000000,564.97787426,554.97077241,519.95705685,429.98217836,330.03975094,10.00710186,35.01371556,89.97487848,99.94242742,0.00000000,0.00000000
2.00000000,564.97049839,554.96102936,519.94274703,429.97624151,330.05299465,10.00946904,35.01828232,89.96650552,99.92324687,0.00000000,0.00000000
2.50000000,564.96312221,554.95128605,519.92843951,429.97030650,330.06623505,10.01183616,35.02284654,89.95813300,99.90407146,0.00000000,0.00000000
3.00000000,564.95574572,554.94154248,519.91413426,429.96437334,330.07947215,10.01420324,35.02740822,89.94976093,99.88490119,0.00000000,0.00000000
3.50000000,564.94836891,554.93179865,519.89983130,429.95844202,330.09270595,10.01657026,35.03196735,89.94138929,99.86573607,0.00000000,0.00000000
4.00000000,564.94099179,554.92205457,519.88553063,429.95251254,330.10593645,10.01893723,35.03652394,89.93301809,99.84657609,0.00000000,0.00000000
4.50000000,564.93361436,554.91231023,519.87123224,429.94658490,330.11916365,10.02130414,35.04107799,89.92464734,99.82742125,0.00000000,0.00000000
5.00000000,564.92623662,554.90256563,519.85693613,429.94065910,330.13238755,10.02367100,35.04562950,89.91627703,99.80827155,0.00000000,0.00000000
5.50000000,564.91885857,554.89282077,519.84264230,429.93473514,330.14560815,10.02603780,35.05017847,89.90790716,99.78912699,0.00000000,0.00000000
6.00000000,564.91148020,554.88307566,519.82835076,429.92881303,330.15882546,10.02840454,35.05472490,89.89953773,99.76998757,0.00000000,0.00000000
6.50000000,564.90410152,554.87333029,519.81406149,429.92289275,330.17203947,10.03077123,35.05926880,89.89116874,99.75085327,0.00000000,0.00000000
7.00000000,564.89672253,554.86358467,519.79977451,429.91697430,330.18525019,10.03313787,35.06381016,89.88280020,99.73172411,0.00000000,0.00000000
7.50000000,564.88934323,554.85383879,519.78548980,429.91105770,330.19845761,10.03550444,35.06834899,89.87443210,99.71260008,0.00000000,0.00000000
8.00000000,564.88196362,554.84409265,519.77120738,429.90514293,330.21166174,10.03787096,35.07288528,89.86606445,99.69348118,0.00000000,0.00000000
8.50000000,564.87458369,554.83434627,519.75692723,429.89922999,330.22486258,10.04023742,35.07741904,89.85769724,99.67436741,0.00000000,0.00000000
9.00000000,564.86720345,554.82459963,519.74264936,429.89331889,330.23806013,10.04260383,35.08195026,89.84933047,99.65525876,0.00000000,0.00000000
9.50000000,564.85982290,554.81485273,519.72837377,429.88740963,330.25125439,10.04497017,35.08647896,89.84096415,99.63615524,0.00000000,0.00000000
10.00000000,564.85244204,554.80510558,519.71410046,429.88150219,330.26444535,10.04733646,35.09100512,89.83259827,99.61705684,0.00000000,0.00000000
10.50000000,564.84506087,554.79535818,519.69982943,429.87559659,330.27763303,10.04970268,35.09552876,89.82423284,99.59796356,0.00000000,0.00000000
11.00000000,564.83767938,554.78561053,519.68556067,429.86969282,330.29081742,10.05206885,35.10004986,89.81586785,99.57887540,0.00000000,0.00000000
11.50000000,564.83029758,554.77586263,519.67129419,429.86379088,330.30399853,10.05443496,35.10456844,89.80750331,99.55979235,0.00000000,0.00000000
12.00000000,564.82291547,554.76611447,519.65702998,429.85789077,330.31717634,10.05680100,35.10908449,89.79913921,99.54071442,0.00000000,0.00000000
12.50000000,564.81553305,554.75636606,519.64276804,429.85199249,330.33035088,10.05916699,35.11359802,89.79077556,99.52164161,0.00000000,0.00000000
13.00000000,564.80815032,554.74661741,519.62850839,429.84609603,330.34352213,10.06153291,35.11810902,89.78241235,99.50257391,0.00000000,0.00000000
13.50000000,564.80076727,554.73686850,519.61425100,429.84020141,330.35669009,10.06389877,35.12261750,89.77404960,99.48351131,0.00000000,0.00000000
14.00000000,564.79338392,554.72711934,519.59999589,429.83430861,330.36985477,10.06626457,35.12712345,89.76568729,99.46445383,0.00000000,0.00000000
14.50000000,564.78600025,554.71736994,519.58574305,429.82841763,330.38301618,10.06863031,35.13162688,89.75732542,99.44540145,0.00000000,0.00000000
15.00000000,564.77861627,554.70762028,519.57149249,429.82252848,330.39617430,10.07099599,35.13612779,89.74896401,99.42635418,0.00000000,0.00000000
15.50000000,564.77123197,554.69787038,519.55724419,429.81664115,330.40932914,10.07336160,35.14062619,89.74060304,99.40731202,0.00000000,0.00000000
16.00000000,564.76384737,554.68812022,519.54299817,429.81075565,330.42248070,10.07572715,35.14512206,89.73224252,99.38827495,0.00000000,0.00000000
16.50000000,564.75646245,554.67836982,519.52875442,429.80487197,330.43562898,10.07809263,35.14961541,89.72388244,99.36924299,0.00000000,0.00000000
17.00000000,564.74907723,554.66861918,519.51451293,429.79899011,330.44877399,10.08045805,35.15410624,89.71552282,99.35021613,0.00000000,0.00000000
17.50000000,564.74169169,554.65886828,519.50027372,429.79311008,330.46191572,10.08282340,35.15859456,89.70716364,99.33119436,0.00000000,0.00000000
18.00000000,564.73430584,554.64911714,519.48603678,429.78723186,330.47505417,10.08518869,35.16308037,89.69880492,99.31217769,0.00000000,0.00000000
18.50000000,564.72691967,554.63936576,519.47180210,429.78135546,330.48818935,10.08755392,35.16756366,89.69044664,99.29316611,0.00000000,0.00000000
19.00000000,564.71953320,554.62961413,519.45756970,429.77548088,330.50132126,10.08991907,35.17204443,89.68208881,99.27415962,0.00000000,0.00000000
19.50000000,564.71214641,554.61986225,519.44333956,429.76960812,330.51444989,10.09228416,35.17652269,89.67373144,99.25515823,0.00000000,0.00000000
20.00000000,564.70475932,554.61011013,519.42911168,429.76373718,330.52757525,10.09464919,35.18099844,89.66537451,99.23616192,0.00000000,0.00000000
20.50000000,564.69737191,554.60035776,519.41488608,429.75786805,330.54069734,10.09701415,35.18547168,89.65701803,99.21717070,0.00000000,0.00000000
21.00000000,564.68998419,554.59060515,519.40066274,429.75200073,330.55381616,10.09937904,35.18994241,89.64866201,99.19818457,0.00000000,0.00000000
21.50000000,564.68259615,554.58085230,519.38644167,429.74613524,330.56693171,10.10174386,35.19441063,89.64030643,99.17920352,0.00000000,0.00000000
22.00000000,564.67520781,554.57109920,519.37222286,429.74027155,330.58004400,10.10410861,35.19887634,89.63195131,99.16022756,0.00000000,0.00000000
22.50000000,564.66781915,554.56134586,519.35800632,429.73440968,330.59315301,10.10647329,35.20333954,89.62359663,99.14125667,0.00000000,0.00000000
23.00000000,564.66043019,554.55159228,519.34379204,429.72854962,330.60625876,10.10883791,35.20780024,89.61524241,99.12229086,0.00000000,0.00000000
23.50000000,564.65304091,554.54183845,519.32958002,429.72269137,330.61936124,10.11120246,35.21225843,89.60688865,99.10333013,0.00000000,0.00000000
24.00000000,564.64565132,554.53208439,519.31537027,429.71683494,330.63246046,10.11356693,35.21671412,89.59853533,99.08437448,0.00000000,0.00000000
24.50000000,564.63826141,554.52233008,519.30116278,429.71098031,330.64555641,10.11593134,35.22116730,89.59018247,99.06542390,0.00000000,0.00000000
25.00000000,564.63087120,554.51257553,519.28695755,429.70512749,330.65864910,10.11829567,35.22561798,89.58183005,99.04647839,0.00000000,0.00000000
25.50000000,564.62348068,554.50282074,519.27275458,429.69927648,330.67173853,10.12065993,35.23006616,89.57347810,99.02753796,0.00000000,0.00000000
26.00000000,564.61608984,554.49306571,519.25855387,429.69342728,330.68482469,10.12302413,35.23451184,89.56512659,99.00860259,0.00000000,0.00000000
26.50000000,564.60869869,554.48331044,519.24435543,429.68757989,330.69790760,10.12538825,35.23895502,89.55677554,98.98967229,0.00000000,0.00000000
27.00000000,564.60130723,554.47355494,519.23015924,429.68173430,330.71098724,10.12775229,35.24339569,89.54842494,98.97074706,0.00000000,0.00000000
27.50000000,564.59391546,554.46379919,519.21596532,429.67589052,330.72406363,10.13011627,35.24783387,89.54007480,98.95182689,0.00000000,0.00000000
28.00000000,564.58652338,554.45404321,519.20177365,429.67004854,330.73713676,10.13248017,35.25226956,89.53172511,98.93291178,0.00000000,0.00000000
28.50000000,564.57913099,554.44428698,519.18758424,429.66420836,330.75020663,10.13484400,35.25670274,89.52337588,98.91400173,0.00000000,0.00000000
29.00000000,564.57173828,554.43453052,519.17339709,429.65836999,330.76327325,10.13720776,35.26113343,89.51502710,98.89509674,0.00000000,0.00000000
29.50000000,564.56434526,554.42477383,519.15921220,429.65253342,330.77633660,10.13957144,35.26556163,89.50667878,98.87619681,0.00000000,0.00000000
30.00000000,564.55695194,554.41501689,519.14502956,429.64669865,330.78939671,10.14193504,35.26998733,89.49833091,98.85730194,0.00000000,0.00000000
30.50000000,564.54955830,554.40525972,519.13084918,429.64086568,330.80245356,10.14429857,35.27441054,89.48998350,98.83841212,0.00000000,0.00000000
31.00000000,564.54216435,554.39550232,519.11667106,429.63503451,330.81550716,10.14666203,35.27883126,89.48163654,98.81952735,0.00000000,0.00000000
31.50000000,564.53477008,554.38574467,519.10249519,429.62920515,330.82855751,10.14902541,35.28324949,89.47329004,98.80064764,0.00000000,0.00000000
32.00000000,564.52737551,554.37598680,519.08832157,429.62337757,330.84160460,10.15138871,35.28766522,89.46494400,98.78177297,0.00000000,0.00000000
32.50000000,564.51998063,554.36622869,519.07415021,429.61755180,330.85464845,10.15375194,35.29207847,89.45659841,98.76290335,0.00000000,0.00000000
33.00000000,564.51258543,554.35647034,519.05998111,429.61172782,330.86768904,10.15611509,35.29648923,89.44825328,98.74403878,0.00000000,0.00000000
