time_s,time_h,demand_MW,actual_MW,q_kg_s,pump_kW,T1_C,T2_C,T3_C,T4_C,T5_C
0,0.0,12.0,0.0,0.0,0.0,565.0,555.0,520.0,430.0,330.0
10,0.002777777777777778,12.0,0.0,0.0,0.0,564.8524420405938,554.805105583077,519.7141004621577,429.88150219296955,330.26444535344524
20,0.005555555555555556,12.0,0.0,0.0,0.0,564.7047593159015,554.610110126777,519.4291116849805,429.76373717559426,330.5275752530901
30,0.008333333333333333,12.0,0.0,0.0,0.0,564.5569519358256,554.4150168933357,519.1450295606072,429.6466986508297,330.7893967100114
40,0.011111111111111112,12.0,0.0,0.0,0.0,564.4090200205652,554.219829109762,518.8618499991007,429.5303803738518,331.04991669007626
50,0.013888888888888888,12.0,0.0,0.0,0.0,564.2609637004641,554.0245499681696,518.5795689283822,429.41477615161324,331.309142114272
60,0.016666666666666666,12.0,0.0,0.0,0.0,564.1127831158612,553.8291826261054,518.2981822941649,429.2998798424038,331.5670798590329
70,0.019444444444444445,12.0,0.0,0.0,0.0,563.9644784169421,553.6337302068749,518.0176860598889,429.18568535541453,331.8237367565648
80,0.022222222222222223,12.0,0.0,0.0,0.0,563.8160497635924,553.4381957998651,517.7380762066548,429.0721866503057,332.0791195951667
90,0.025,12.0,0.0,0.0,0.0,563.6674973252525,553.2425824608636,517.4593487331585,428.95937773677855,332.3332351195501
100,0.027777777777777776,12.0,0.0,0.0,0.0,563.5188212807741,553.0468932123761,517.1814996556258,428.8472526741509,332.586090031156
110,0.030555555555555555,12.0,0.0,0.0,0.0,563.3700218182784,552.85113104394,516.9045250077463,428.7358055709361,332.83769098846875
120,0.03333333333333333,12.0,0.0,0.0,0.0,563.2210991350152,552.6552989124357,516.6284208406091,428.625030584426,333.0880446073282
130,0.03611111111111111,12.0,0.0,0.0,0.0,563.0720534372242,552.4593997423952,516.3531832226366,428.51492192027735,333.3371574612387
140,0.03888888888888889,12.0,0.0,0.0,0.0,562.9228849399974,552.2634364263075,516.07880823952,428.4054738321021,333.58503608167626
150,0.041666666666666664,12.0,0.0,0.0,0.0,562.7735938671431,552.0674118249217,515.8052919941538,428.2966806210608,333.8316869583929
160,0.044444444444444446,12.0,0.0,0.0,0.0,562.6241804510514,551.871328767547,515.5326306065714,428.18853663545985,334.0771165397186
170,0.04722222222222222,12.0,0.0,0.0,0.0,562.4746449325611,551.6751900523503,515.2608202138798,428.08103627035246,334.32133123286116
180,0.05,12.0,0.0,0.0,0.0,562.324987560828,551.4789984466515,514.9898569701952,427.9741739671424,334.5643374042034
190,0.05277777777777778,12.0,0.0,0.0,0.0,562.1752085931951,551.2827566872149,514.7197370465781,427.867944213192,334.8061413795982
200,0.05555555555555555,12.0,0.0,0.0,0.0,562.0253082950628,551.0864674805393,514.4504566309689,427.76234154143305,335.04674944466126
