time_s,demand_MW,actual_MW,q_kg_s,T1_C,T2_C,T3_C,T4_C,T5_C
0,12.0,11.99895789293247,29.09090909090909,565.0,555.0,520.0,430.0,330.0
10,12.0,11.996866047398433,29.09090909090909,564.9522367594049,554.8620718565714,519.6545054096244,429.62817244106674,329.8688681071367
20,12.0,11.99475890263371,29.09090909090909,564.9041237463568,554.7233596399444,519.308955694927,429.2572854508675,329.73816980835704
30,12.0,11.992636386161376,29.09090909090909,564.8556592910214,554.5838662733426,518.9633545568903,428.88733685360717,329.607903610813
40,12.0,11.990498426280386,29.09090909090909,564.8068417413749,554.4435946819943,518.6177056735712,428.51832447736274,329.47806802701376
50,12.0,11.988344952062851,29.09090909090909,564.7576694631427,554.3025477930402,518.2720127002106,428.15024615408373,329.3486615748058
60,12.0,11.986175893351355,29.09090909090909,564.708140839738,554.16072853544,517.9262792693409,427.7830997195922,329.219682777353
70,12.0,11.983991180756242,29.09090909090909,564.6582542721992,554.0181398398817,517.5805089908952,427.4168830135829,329.09113016311665
80,12.0,11.981790745652905,29.09090909090909,564.6080081791285,553.8747846386905,517.2347054523141,427.05159387962317,328.9630022658358
90,12.0,11.979574520179083,29.09090909090909,564.5574009966296,553.7306658657392,516.8888722186531,426.6872301651531,328.8352976245075
100,12.0,11.977342437232155,29.09090909090909,564.5064311782452,553.5857864563586,516.5430128326896,426.32378972148535,328.70801478336705
110,12.0,11.975094430466378,29.09090909090909,564.4550971948952,553.4401493472495,516.1971308150286,425.96127040380503,328.5811522918684
120,12.0,11.972830434290215,29.09090909090909,564.4033975348138,553.2937574763947,515.8512296642087,425.59967007116944,328.454708704665
130,12.0,11.970550383863555,29.09090909090909,564.3513307034876,553.1466137829723,515.5053128568079,425.238986586508,328.32868258158993
140,12.0,11.968254215095019,29.09090909090909,564.2988952235921,552.9987212072695,515.1593838475475,424.8792178166219,328.20307248763686
150,12.0,11.965941864639197,29.09090909090909,564.2460896349297,552.8500826905972,514.8134460693975,424.52036163218366,328.0778769929407
160,12.0,11.963613269893914,29.09090909090909,564.1929124943669,552.7007011752055,514.4675029336802,424.1624159077368,327.9530946727583
170,12.0,11.96126836899749,29.09090909090909,564.1393623757709,552.5505796041994,514.1215578301735,423.8053785216954,327.82872410744955
180,12.0,11.95890710082599,29.09090909090909,564.0854378699474,552.3997209214558,513.7756141272146,423.4492473563437,327.70476388245817
190,12.0,11.956529404990464,29.09090909090909,564.0311375845771,552.2481280715413,513.429675171802,423.0940202978353,327.5812125882928
200,12.0,11.954135221834207,29.09090909090909,563.9764601441525,552.0958039996298,513.0837442896985,422.7396952361929,327.45806882050806
210,12.0,11.95172449242999,29.09090909090909,563.9214041899153,551.942751651422,512.7378247855323,422.3862700653074,327.3353311796858
220,12.0,11.949297158577307,29.09090909090909,563.8659683797927,551.788973973065,512.3919199428985,422.0337426829372,327.2129982714163
230,12.0,11.946853162799616,29.09090909090909,563.8101513883341,551.6344739110725,512.0460330244605,421.6821109907077,327.0910687062797
240,12.0,11.944392448341548,29.09090909090909,563.7539519066484,551.4792544122461,511.7001672720499,421.3313728941103,326.9695410998271
250,12.0,11.94191495916617,29.09090909090909,563.6973686423394,551.3233184235966,511.3543259067669,420.9815263025015,326.84841407256243
260,12.0,11.939420639952205,29.09090909090909,563.6404003194435,551.166668892267,511.0085121290799,420.63256912910225,326.7276862499237
270,12.0,11.936909436091236,29.09090909090909,563.5830456783658,551.0093087654556,510.66272911892463,420.2844992909968,326.60735626226466
280,12.0,11.934381293684982,29.09090909090909,563.525303475816,550.8512409903393,510.31698003580294,419.93731470913184,326.48742274483664
290,12.0,11.931836159542462,29.09090909090909,563.4671724847457,550.6924685139991,509.9712680188813,419.59101330831544,326.36788433777014
300,12.0,11.998701070873677,29.260229900096434,563.408651494284,550.5329942833442,509.6255961870886,419.2455930172159,326.24873968605664
