R_m,H_m,V_m3,surface_m2,mass_kg,K_W_K,UA_top_W_K,energy_upper_MWh
2.0,5.0,62.83185307179586,87.96459430051421,113097.33552923254,1193.8052083641214,80.4247719318987,8.95353906273091
2.0,5.125,64.40264939859075,89.5353906273091,115924.76891746336,1164.6880081601184,81.43008158104743,9.177377539299183
2.0,5.25,65.97344572538566,91.106186954104,118752.2023056942,1136.9573412991633,82.43539123019617,9.401216015867458
2.0,5.375,67.54424205218055,92.6769832808989,121579.635693925,1110.516472896857,83.44070087934492,9.625054492435728
2.0,5.5,69.11503837897544,94.24777960769379,124407.0690821558,1085.2774621492013,84.44601052849364,9.848892969004002
2.0,5.625,70.68583470577035,95.81857593448869,127234.50247038662,1061.1601852125523,85.45132017764237,10.072731445572275
2.0,5.75,72.25663103256524,97.38937226128358,130061.93585861743,1038.0914855340186,86.4566298267911,10.296569922140545
2.0,5.875,73.82742735936014,98.96016858807849,132889.36924684825,1016.0044326503161,87.46193947593986,10.52040839870882
2.0,6.0,75.39822368615503,100.53096491487338,135716.80263507908,994.8376736367678,88.46724912508859,10.744246875277094
2.0,6.125,76.96902001294993,102.10176124166827,138544.23602330987,974.5348639707114,89.47255877423731,10.968085351845364
2.0,6.25,78.53981633974483,103.67255756846318,141371.6694115407,955.0441666912972,90.47786842338604,11.191923828413639
2.0,6.375,80.11061266653972,105.24335389525807,144199.1027997715,936.3178104816639,91.48317807253477,11.415762304981913
2.0,6.5,81.68140899333463,106.81415022205297,147026.53618800233,918.3116987416319,92.48848772168351,11.639600781550184
2.0,6.625,83.25220532012952,108.38494654884786,149853.96957623312,900.985062916318,93.49379737083225,11.863439258118456
2.0,6.75,84.82300164692441,109.95574287564276,152681.40296446395,884.3001543437937,94.49910701998098,12.087277734686728
2.0,6.875,86.39379797371932,111.52653920243766,155508.83635269478,868.221969719361,95.50441666912971,12.311116211255003
2.0,7.0,87.96459430051421,113.09733552923255,158336.26974092558,852.7180059743724,96.50972631827844,12.534954687823275
2.0,7.125,89.5353906273091,114.66813185602744,161163.70312915638,837.7580409572782,97.51503596742717,12.758793164391545
2.0,7.25,91.106186954104,116.23892818282235,163991.1365173872,823.3139368028424,98.52034561657592,12.98263164095982
2.0,7.375,92.6769832808989,117.80972450961724,166818.56990561797,809.3594632977095,99.52565526572465,13.206470117528088
2.0,7.5,94.24777960769379,119.38052083641213,169646.00329384883,795.8701389094143,100.53096491487338,13.430308594096367
2.0,7.625,95.81857593448869,120.95131716320704,172473.43668207966,782.8230874518829,101.53627456402212,13.654147070664639
2.0,7.75,97.38937226128358,122.52211349000193,175300.87007031046,770.1969086220138,102.54158421317085,13.877985547232912
2.0,7.875,98.96016858807849,124.09290981679683,178128.30345854128,757.9715608661088,103.54689386231959,14.101824023801186
2.0,8.0,100.53096491487338,125.66370614359172,180955.73684677208,746.1282552275759,104.55220351146832,14.325662500369456
2.0,8.125,102.10176124166827,127.23450247038662,183783.17023500288,734.6493589933054,105.55751316061705,14.549500976937729
2.0,8.25,103.67255756846318,128.80529879718154,186610.60362323368,723.5183080994675,106.56282280976579,14.773339453505999
2.0,8.375,105.24335389525807,130.37609512397643,189438.03701146453,712.7195273815651,107.56813245891452,14.997177930074274
2.0,8.5,106.81415022205297,131.94689145077132,192265.47039969536,702.2383578612479,108.57344210806325,15.22101640664255
2.0,8.625,108.38494654884786,133.5176877775662,195092.90378792616,692.0609903560124,109.57875175721199,15.44485488321082
2.0,8.75,109.95574287564276,135.0884841043611,197920.337176157,682.174404779498,110.58406140636072,15.668693359779095
2.0,8.875,111.52653920243766,136.659280431156,200747.77056438779,672.566314571336,111.58937105550946,15.892531836347368
2.0,9.0,113.09733552923255,138.23007675795088,203575.20395261858,663.2251157578453,112.59468070465819,16.116370312915638
2.0,9.125,114.66813185602744,139.80087308474577,206402.63734084938,654.1398401995186,113.59999035380692,16.340208789483913
2.0,9.25,116.23892818282235,141.3716694115407,209230.07072908024,645.3001126292548,114.60530000295566,16.564047266052185
2.0,9.375,117.80972450961724,142.94246573833559,212057.50411731104,636.6961111275315,115.61060965210439,16.787885742620457
2.0,9.5,119.38052083641213,144.51326206513048,214884.93750554183,628.3185307179587,116.61591930125313,17.01172421918873
2.0,9.625,120.95131716320704,146.0840583919254,217712.3708937727,620.1585497995436,117.62122895040187,17.235562695757004
2.0,9.75,122.52211349000193,147.6548547187203,220539.80428200346,612.2077991610879,118.6265385995506,17.459401172325272
